author_id,lexical_diversity,repeated_ratio,link_ratio,sentiment_polarity,comments_per_day,burstiness_hours,hour_entropy,segment,anomaly_score,anomaly_score_val
31186,0.307,0.0,0.0,0.035,0.33,111.582,3.401,0,1,0.071
34728,0.394,0.007,0.018,0.027,0.76,64.632,3.939,0,1,0.051
38923,0.875,0.0,0.0,-0.021,0.206,316.336,2.807,0,1,0.135
39224,0.748,0.0,0.0,0.031,0.088,325.167,3.382,0,1,0.15
40389,0.443,0.309,0.0,0.006,0.533,80.948,3.98,0,-1,-0.04
42238,0.632,0.0,0.0,0.047,0.243,158.819,3.934,0,1,0.113
42842,0.809,0.0,0.027,-0.008,0.159,335.157,2.898,0,1,0.131
46886,0.597,0.056,0.093,0.029,0.151,223.378,3.984,0,1,0.023
46995,0.632,0.0,0.026,-0.015,0.142,181.548,3.426,0,1,0.116
47153,0.452,0.0,0.0,0.227,0.344,210.436,1.495,0,1,0.013
54108,0.87,0.0,0.0,-0.1,0.034,543.949,2.75,3,1,0.123
55501,0.617,0.0,0.0,0.024,0.184,152.06,3.667,0,1,0.135
57144,0.758,0.0,0.0,0.048,0.062,647.428,3.106,0,1,0.14
59696,0.505,0.0,0.008,0.016,0.339,76.652,3.745,0,1,0.111
64096,0.511,0.005,0.0,0.008,0.547,164.673,3.939,0,1,0.103
68534,0.579,0.0,0.023,0.031,0.127,330.563,3.179,0,1,0.121
75199,0.455,0.0,0.0,0.004,0.299,123.04,3.999,0,1,0.091
84143,0.52,0.021,0.0,0.037,0.45,63.528,3.75,0,1,0.087
88399,0.825,0.0,0.0,0.059,0.144,301.109,3.264,0,1,0.138
92339,0.664,0.0,0.026,0.064,0.116,288.38,3.435,0,1,0.106
102593,0.926,0.0,0.0,0.0,0.111,,1.0,1,1,0.161
104452,0.74,0.0,0.0,0.052,0.075,409.627,3.47,0,1,0.134
116805,0.864,0.0,0.0,0.111,0.037,648.029,2.948,3,1,0.115
123439,0.518,0.017,0.017,0.02,0.334,138.824,3.645,0,1,0.092
124243,0.586,0.0,0.0,0.02,0.28,119.956,3.654,0,1,0.127
128092,0.433,0.044,0.044,0.01,0.201,165.341,3.859,0,1,0.034
133448,0.832,0.0,0.091,0.0,0.045,741.529,2.845,3,1,0.115
138498,0.767,0.0,0.0,0.049,0.093,364.524,3.459,0,1,0.137
145698,0.628,0.045,0.0,-0.012,0.767,55.108,3.345,0,1,0.086
145699,0.574,0.0,0.033,0.026,0.172,170.03,3.945,0,1,0.097
156056,0.752,0.0,0.0,0.062,0.036,818.962,3.085,0,1,0.13
157095,0.348,0.018,0.042,0.034,0.783,344.086,4.278,0,1,0.007
167601,0.546,0.0,0.06,0.027,0.148,213.233,3.719,0,1,0.086
182103,0.58,0.0,0.0,0.018,0.425,74.326,3.564,0,1,0.123
206240,0.736,0.04,0.1,0.0,0.181,180.715,3.684,0,1,0.05
213907,0.716,0.0,0.0,0.024,0.338,111.342,3.507,0,1,0.136
218230,0.556,0.0,0.0,-0.02,0.318,137.1,3.671,0,1,0.116
219894,0.889,0.0,0.0,0.0,0.029,,1.0,1,1,0.159
224841,0.647,0.011,0.0,-0.001,0.25,139.207,3.668,0,1,0.115
228123,0.342,0.007,0.004,0.015,0.82,92.729,3.289,0,1,0.06
228571,0.571,0.0,0.0,0.048,0.27,102.552,3.805,0,1,0.103
232412,0.698,0.0,0.0,0.032,0.17,199.001,3.273,0,1,0.14
246832,0.651,0.0,0.0,-0.04,0.097,405.722,2.833,0,1,0.128
258512,0.453,0.0,0.0,0.017,0.421,66.145,3.836,0,1,0.096
259285,0.491,0.0,0.0,0.025,0.511,84.219,3.741,0,1,0.102
268058,0.598,0.0,0.0,0.024,0.289,196.455,4.108,0,1,0.108
272585,0.509,0.044,0.089,0.111,0.135,263.995,3.365,0,1,0.024
272733,0.575,0.017,0.0,0.001,0.415,112.895,3.708,0,1,0.103
273724,0.62,0.0,0.014,0.007,0.195,229.512,3.278,0,1,0.132
275482,1.0,0.0,0.0,0.0,2.0,,0.0,1,1,0.118
283539,0.616,0.0,0.0,-0.004,0.251,165.551,3.906,0,1,0.119
283772,0.488,0.009,0.0,0.027,0.655,55.652,4.056,0,1,0.084
288158,0.897,0.0,0.231,0.068,0.044,656.655,2.815,3,1,0.046
290498,0.529,0.013,0.0,0.016,0.431,80.726,4.12,0,1,0.09
296337,0.618,0.056,0.0,-0.008,0.252,102.754,3.827,0,1,0.071
300245,0.456,0.027,0.014,0.003,0.618,69.772,4.323,0,1,0.056
304363,0.754,0.0,0.0,0.023,0.071,519.11,3.425,0,1,0.142
306277,0.694,0.0,0.02,0.047,0.138,455.438,3.536,0,1,0.114
313593,0.676,0.0,0.0,0.0,0.035,677.313,2.369,0,1,0.134
314439,0.95,0.0,0.0,0.0,0.009,761.754,1.585,3,1,0.147
315684,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.18
319461,0.739,0.0,0.045,0.001,0.297,99.418,3.516,0,1,0.106
322886,0.703,0.0,0.0,-0.008,0.18,210.74,3.976,0,1,0.119
329078,0.796,0.0,0.0,0.0,0.015,2002.504,2.0,3,1,0.1
333298,0.818,0.0,0.0,0.0,0.036,,1.0,1,1,0.151
333550,0.672,0.0,0.0,-0.01,0.105,230.466,3.439,0,1,0.133
351485,0.7,0.0,0.0,0.027,0.152,554.197,3.3,0,1,0.14
352398,0.686,0.0,0.0,0.015,0.082,291.937,3.315,0,1,0.142
